详细地址,区域,房型,户型,租金,面积(m²),登记时间,详细信息
锦港嘉园5楼,龙港,套房,一室一厅一卫,28000元/年,80,[09-27],https://www.lgfdcw.com/cz/czdetail_74307.html
御景公馆9楼,龙港,套房,三房二厅二卫,35000元/年,192,[09-27],https://www.lgfdcw.com/cz/czdetail_74306.html
锦港嘉园14楼 办公装修,龙港,套房,一室一厅一卫,17000元/年,45,[09-27],https://www.lgfdcw.com/cz/czdetail_74308.html
方岩新村1楼,龙港,套房,一室,15000元/年,104,[09-27],https://www.lgfdcw.com/cz/czdetail_74303.html
彩虹大厦13楼,龙港,套房,三房二厅二卫,30000元/年,140,[09-27],https://www.lgfdcw.com/cz/czdetail_74302.html
港河路2楼,龙港,套房,三房二厅二卫,10000元/年,120,[09-27],https://www.lgfdcw.com/cz/czdetail_74304.html
纺织五街5楼 中等装修,龙港,民房,一室,17000元/年,300,[09-27],https://www.lgfdcw.com/cz/czdetail_74301.html
仪邦公馆23楼,龙港,套房,一室一厅一卫,28000元/年,50,[09-27],https://www.lgfdcw.com/cz/czdetail_74299.html
龙湖路7楼,龙港,套房,三房二厅二卫,18000元/年,135,[09-27],https://www.lgfdcw.com/cz/czdetail_73414.html
新西路2楼 精装修,龙港,套房,三房二厅二卫,19000元/年,120,[09-27],https://www.lgfdcw.com/cz/czdetail_73413.html
下��郑路6楼,龙港,套房,三房二厅二卫,16000元/年,120,[09-27],https://www.lgfdcw.com/cz/czdetail_73415.html
宫后路7楼,龙港,套房,二室一厅一卫,9000元/年,110,[09-27],https://www.lgfdcw.com/cz/czdetail_73412.html
江浦路4楼,龙港,套房,三房二厅二卫,22000元/年,120,[09-27],https://www.lgfdcw.com/cz/czdetail_73411.html
纺织二街3楼,龙港,套房,一室一厅一卫,6500元/年,50,[09-27],https://www.lgfdcw.com/cz/czdetail_73410.html
沿河四街2-5楼落地房,龙港,民房,一室,21000元/年,200,[09-27],https://www.lgfdcw.com/cz/czdetail_73409.html
仪邦公馆11楼 精装修,龙港,套房,二室二厅一卫,35000元/年,103,[09-27],https://www.lgfdcw.com/cz/czdetail_73408.html
龙港大厦9楼,龙港,套房,二室一厅一卫,32000元/年,80,[09-27],https://www.lgfdcw.com/cz/czdetail_73407.html
东城路  5楼步梯出租  2室2卫边套,龙港,套房,二室二厅二卫一阳台,15500元/年,80,[09-27],https://www.lgfdcw.com/cz/czdetail_85182.html
世纪大道旁大厦拎包住2房,龙港,套房,二室一厅一卫一阳台,17000元/年,60,[09-27],https://www.lgfdcw.com/cz/czdetail_84449.html
世纪中学旁大厦拎包住,龙港,套房,三室二厅二卫一阳台,27000元/年,100,[09-27],https://www.lgfdcw.com/cz/czdetail_84050.html
威龙小区二层,龙港,套房,一室一厅一卫,11800元/年,50,[09-27],https://www.lgfdcw.com/cz/czdetail_85187.html
海港新村4楼,龙港,套房,三室一厅一卫,12600元/年,90,[09-26],https://www.lgfdcw.com/cz/czdetail_73405.html
龙港大道1楼,龙港,套房,一室,240000元/年,200,[09-26],https://www.lgfdcw.com/cz/czdetail_73404.html
西三街1楼商铺,龙港,商铺,一室,14500元/年,200,[09-26],https://www.lgfdcw.com/cz/czdetail_73403.html
泰安商城4楼,龙港,套房,三房二厅二卫,30000元/年,140,[09-26],https://www.lgfdcw.com/cz/czdetail_73402.html
建新路2楼,龙港,写字楼,一室,90000元/年,300,[09-26],https://www.lgfdcw.com/cz/czdetail_73401.html
西城四街2楼,龙港,套房,三房二厅二卫,13800元/年,105,[09-26],https://www.lgfdcw.com/cz/czdetail_73400.html
仪邦大厦10楼,龙港,套房,一室二厅一卫,26000元/年,50,[09-26],https://www.lgfdcw.com/cz/czdetail_73399.html
西一街6楼 简单装修,龙港,套房,四室二厅二卫,22000元/年,150,[09-26],https://www.lgfdcw.com/cz/czdetail_72961.html
双排街5楼 简单装修,龙港,套房,三房二厅二卫,18000元/年,120,[09-26],https://www.lgfdcw.com/cz/czdetail_72959.html
塘洪路1楼,龙港,套房,二室一厅一卫,30000元/年,100,[09-26],https://www.lgfdcw.com/cz/czdetail_72960.html
西洋路3楼 中等装修,龙港,套房,三房二厅二卫,24000元/年,120,[09-26],https://www.lgfdcw.com/cz/czdetail_72958.html
西一街2楼,龙港,套房,一室,14500元/年,70,[09-26],https://www.lgfdcw.com/cz/czdetail_72957.html
龙湖路2楼,龙港,套房,三房二厅二卫,19000元/年,140,[09-26],https://www.lgfdcw.com/cz/czdetail_72956.html
西三街3楼 中等装修,龙港,套房,一室一厅一卫,11000元/年,35,[09-26],https://www.lgfdcw.com/cz/czdetail_72955.html
仪邦公馆23楼 精装修,龙港,套房,一室一厅一卫,27000元/年,49,[09-26],https://www.lgfdcw.com/cz/czdetail_72954.html
纺织五街3楼,龙港,套房,二室二厅一卫,14200元/年,80,[09-26],https://www.lgfdcw.com/cz/czdetail_72953.html
国贸大厦5楼 中等装修,龙港,套房,一室,23000元/年,120,[09-26],https://www.lgfdcw.com/cz/czdetail_72952.html
礼品城公寓6楼 办公装修,龙港,套房,一室,50000元/年,278,[09-26],https://www.lgfdcw.com/cz/czdetail_72951.html
锦园大楼5楼,龙港,套房,三房二厅二卫,17000元/年,120,[09-26],https://www.lgfdcw.com/cz/czdetail_72950.html
白河路7楼,龙港,套房,一室一厅一卫,13800元/年,60,[09-26],https://www.lgfdcw.com/cz/czdetail_72949.html
西三街3楼,龙港,套房,一室一厅一卫,39000元/年,50,[09-26],https://www.lgfdcw.com/cz/czdetail_72948.html
纺织二街5楼,龙港,套房,一室一厅一卫,7500元/年,50,[09-26],https://www.lgfdcw.com/cz/czdetail_72947.html
龙城银座7楼 办公装修,龙港,套房,三房二厅二卫一阳台,40000元/年,141,[09-26],https://www.lgfdcw.com/cz/czdetail_72558.html
新鸿嘉园商铺1楼,龙港,商铺,一室,62000元/年,55,[09-26],https://www.lgfdcw.com/cz/czdetail_72556.html
江湾路3楼,龙港,套房,一室一厅一卫,13000元/年,70,[09-26],https://www.lgfdcw.com/cz/czdetail_74216.html
德雅花园2楼,龙港,套房,三房二厅二卫二阳台,36500元/年,135,[09-26],https://www.lgfdcw.com/cz/czdetail_72555.html
恒利新村6楼 中等装修,龙港,套房,三房二厅二卫一阳台,17000元/年,120,[09-26],https://www.lgfdcw.com/cz/czdetail_72557.html
审批中心2楼 中等装修,龙港,套房,一室,100000元/年,150,[09-26],https://www.lgfdcw.com/cz/czdetail_72554.html
兴贤路5楼,龙港,套房,三房二厅二卫,22000元/年,130,[09-26],https://www.lgfdcw.com/cz/czdetail_72552.html
西二街,龙港,商铺,一室,68000元/年,400,[09-26],https://www.lgfdcw.com/cz/czdetail_72551.html
长运大厦16楼,龙港,套房,三房二厅二卫一阳台,31000元/年,165,[09-26],https://www.lgfdcw.com/cz/czdetail_72553.html
大道北街3楼 精装修,龙港,套房,二室二厅一卫一阳台,28000元/年,80,[09-26],https://www.lgfdcw.com/cz/czdetail_72549.html
财富名门2楼,龙港,套房,一室一厅一卫,30000元/年,57,[09-26],https://www.lgfdcw.com/cz/czdetail_72548.html
大道北街2楼 精装修,龙港,套房,二室二厅二卫,26000元/年,80,[09-26],https://www.lgfdcw.com/cz/czdetail_72550.html
柳南路3楼,龙港,套房,一室,13800元/年,55,[09-26],https://www.lgfdcw.com/cz/czdetail_72547.html
国发花园6楼,龙港,套房,三房二厅一卫,21000元/年,110,[09-26],https://www.lgfdcw.com/cz/czdetail_72546.html
锦港嘉园26楼 精装修,龙港,套房,一室,18000元/年,35,[09-26],https://www.lgfdcw.com/cz/czdetail_72431.html
浦后小区3楼 办公装修,龙港,套房,二室一厅一卫,15000元/年,110,[09-26],https://www.lgfdcw.com/cz/czdetail_72545.html
东方大厦5楼,龙港,套房,三房二厅二卫一阳台,30000元/年,138,[09-26],https://www.lgfdcw.com/cz/czdetail_72543.html
信用街5楼,龙港,套房,二室一厅一卫一阳台,14000元/年,60,[09-26],https://www.lgfdcw.com/cz/czdetail_72542.html
西城路6楼 精装装修,龙港,套房,二室一厅一卫,20000元/年,70,[09-26],https://www.lgfdcw.com/cz/czdetail_72544.html
兴联路5楼,龙港,套房,三房二厅二卫,16800元/月,110,[09-26],https://www.lgfdcw.com/cz/czdetail_74243.html
龙港大厦4楼,龙港,套房,二室二厅二卫,22000元/年,100,[09-26],https://www.lgfdcw.com/cz/czdetail_74242.html
五小联建公寓3楼,龙港,套房,三房二厅二卫,25000元/年,110,[09-26],https://www.lgfdcw.com/cz/czdetail_74240.html
仪邦公馆15楼,龙港,套房,一室一厅一卫,24000元/年,50,[09-26],https://www.lgfdcw.com/cz/czdetail_74238.html
西二街3楼,龙港,套房,三房二厅二卫,25200元/年,120,[09-26],https://www.lgfdcw.com/cz/czdetail_74241.html
龙港商厦5楼 电梯房,龙港,套房,一室,26000元/年,100,[09-26],https://www.lgfdcw.com/cz/czdetail_74237.html
锦港嘉园22楼,龙港,套房,一室一厅一卫,24000元/年,60,[09-26],https://www.lgfdcw.com/cz/czdetail_74239.html
西二街阁楼,龙港,民房,一室,13800元/年,70,[09-26],https://www.lgfdcw.com/cz/czdetail_74236.html
仪邦公馆15楼,龙港,套房,一室,20500元/年,50.6,[09-26],https://www.lgfdcw.com/cz/czdetail_74235.html
西一街454号,龙港,套房,二室一厅一卫一阳台,10000元/年,60,[09-26],https://www.lgfdcw.com/cz/czdetail_85153.html
西三路54-56号二间店面,龙港,店面,店面一卫,40000元/月,100,[09-26],https://www.lgfdcw.com/cz/czdetail_78478.html
兴安街298号,龙港,店面,一室一卫,12000元/年,35,[09-26],https://www.lgfdcw.com/cz/czdetail_83164.html
江滨商住楼6楼 中等装修,龙港,套房,三室一厅二卫,16000元/年,120,[09-26],https://www.lgfdcw.com/cz/czdetail_74234.html
财富名门3楼,龙港,套房,三房二厅二卫,48000元/年,137,[09-26],https://www.lgfdcw.com/cz/czdetail_74233.html
龙翔路6楼,龙港,套房,三房二厅二卫,20000元/年,120,[09-26],https://www.lgfdcw.com/cz/czdetail_74232.html
西城路5楼,龙港,套房,三房二厅二卫,17500元/年,120,[09-26],https://www.lgfdcw.com/cz/czdetail_74231.html
华百广场11楼,龙港,套房,三房二厅二卫,32000元/年,149,[09-26],https://www.lgfdcw.com/cz/czdetail_74230.html
大道北街3楼,龙港,套房,一室,23000元/年,55,[09-26],https://www.lgfdcw.com/cz/czdetail_74229.html
彩虹大厦8楼 办公装修,龙港,套房,四室二厅二卫,22500元/年,163,[09-26],https://www.lgfdcw.com/cz/czdetail_74228.html
电力公寓7楼,龙港,套房,三房二厅二卫,20000元/年,110,[09-26],https://www.lgfdcw.com/cz/czdetail_74212.html
广电大厦7楼,龙港,套房,三房二厅二卫,30000元/年,145,[09-26],https://www.lgfdcw.com/cz/czdetail_74227.html
公园壹号8楼,龙港,套房,三房二厅二卫,20000元/年,160,[09-26],https://www.lgfdcw.com/cz/czdetail_74226.html
新湖绿都北苑12楼,龙港,套房,三房二厅二卫,30000元/年,125,[09-26],https://www.lgfdcw.com/cz/czdetail_74225.html
兴安街6楼 简单装修,龙港,套房,三房二厅二卫,16000元/年,110,[09-26],https://www.lgfdcw.com/cz/czdetail_74224.html
泰安路1楼商铺,龙港,商铺,一室,90000元/年,90,[09-26],https://www.lgfdcw.com/cz/czdetail_74217.html
吉祥路5楼,龙港,套房,三房二厅二卫,25000元/年,120,[09-26],https://www.lgfdcw.com/cz/czdetail_74215.html
永泰嘉园13楼,龙港,套房,三房二厅二卫,38000元/年,145,[09-26],https://www.lgfdcw.com/cz/czdetail_74214.html
柳南路7楼,龙港,套房,三房二厅二卫,15000元/年,120,[09-26],https://www.lgfdcw.com/cz/czdetail_74213.html
财富名门5楼,龙港,套房,一室,50000元/年,240,[09-26],https://www.lgfdcw.com/cz/czdetail_74211.html
人民路6楼 中等装修,龙港,套房,三房二厅二卫,25000元/年,159,[09-26],https://www.lgfdcw.com/cz/czdetail_74210.html
龙湖小区6楼,龙港,套房,一室,12000元/年,90,[09-26],https://www.lgfdcw.com/cz/czdetail_74209.html
锦泰嘉园13楼,龙港,套房,一室一厅一卫,16000元/年,40,[09-26],https://www.lgfdcw.com/cz/czdetail_74208.html
纺织五街4楼,龙港,套房,三房二厅二卫,18000元/年,120,[09-26],https://www.lgfdcw.com/cz/czdetail_74207.html
兴安街6楼,龙港,套房,四室二厅二卫,18800元/年,140,[09-26],https://www.lgfdcw.com/cz/czdetail_74206.html
上厂街1楼5间店面,龙港,店面,一室,140000元/年,300,[09-26],https://www.lgfdcw.com/cz/czdetail_74205.html
克拉公馆19楼,龙港,套房,三室一厅二卫,30000元/年,134,[09-26],https://www.lgfdcw.com/cz/czdetail_74204.html
塘东小区4楼 电梯房,龙港,套房,三房二厅二卫,18000元/年,120,[09-26],https://www.lgfdcw.com/cz/czdetail_74203.html
港城大厦3楼,龙港,套房,三房二厅二卫,35000元/年,113,[09-26],https://www.lgfdcw.com/cz/czdetail_74202.html
锦港嘉园8楼,龙港,套房,一室,22000元/年,43,[09-26],https://www.lgfdcw.com/cz/czdetail_74201.html
人民路6楼,龙港,套房,一室,10200元/年,35,[09-26],https://www.lgfdcw.com/cz/czdetail_74200.html
华夏公寓1楼,龙港,套房,一室,16000元/年,83,[09-26],https://www.lgfdcw.com/cz/czdetail_74199.html
方城丽园22楼 办公装修,龙港,套房,四室二厅二卫,30000元/年,172,[09-26],https://www.lgfdcw.com/cz/czdetail_74198.html
精品市场3楼,龙港,套房,二室二厅一卫,13500元/年,87,[09-26],https://www.lgfdcw.com/cz/czdetail_74190.html
宫后路7楼,龙港,套房,三房二厅二卫,14000元/年,120,[09-26],https://www.lgfdcw.com/cz/czdetail_74188.html
方鑫大厦24楼,龙港,套房,三房二厅二卫,45000元/年,145,[09-26],https://www.lgfdcw.com/cz/czdetail_74187.html
高兴路4楼,龙港,套房,三房二厅二卫,29000元/年,120,[09-26],https://www.lgfdcw.com/cz/czdetail_74189.html
西三街3楼,龙港,套房,四室二厅二卫,28000元/年,160,[09-26],https://www.lgfdcw.com/cz/czdetail_74186.html
西六街6楼,龙港,套房,三房二厅二卫,22000元/年,145,[09-26],https://www.lgfdcw.com/cz/czdetail_74185.html
金茂大厦20楼,龙港,套房,三房二厅二卫,29000元/年,120,[09-26],https://www.lgfdcw.com/cz/czdetail_74184.html
乐港名苑7楼,龙港,套房,三房二厅二卫,32000元/年,167,[09-26],https://www.lgfdcw.com/cz/czdetail_74183.html
双园楼3楼,龙港,套房,三房二厅二卫,33000元/年,126,[09-26],https://www.lgfdcw.com/cz/czdetail_74182.html
纺织五街2楼,龙港,套房,一室,15000元/年,200,[09-26],https://www.lgfdcw.com/cz/czdetail_74181.html
站前路5楼,龙港,套房,二室一厅一卫,13500元/年,80,[09-26],https://www.lgfdcw.com/cz/czdetail_74180.html
龙港大厦20楼,龙港,套房,三房二厅二卫,35000元/年,125,[09-26],https://www.lgfdcw.com/cz/czdetail_74179.html
公园壹号5楼,龙港,套房,三房二厅二卫,18000元/年,143,[09-26],https://www.lgfdcw.com/cz/czdetail_74178.html
国发花园6楼,龙港,套房,四室二厅二卫,28000元/年,178,[09-26],https://www.lgfdcw.com/cz/czdetail_74177.html
华府公寓8楼 豪华装修,龙港,套房,二室一厅一卫,30000元/年,74,[09-26],https://www.lgfdcw.com/cz/czdetail_74176.html
纺织三街1楼,龙港,写字楼,一室,18000元/年,200,[09-26],https://www.lgfdcw.com/cz/czdetail_74175.html
华夏公寓1楼 简单装修,龙港,套房,一室,16000元/年,83,[09-26],https://www.lgfdcw.com/cz/czdetail_74174.html
西一街6楼,龙港,套房,一室,13500元/年,50,[09-26],https://www.lgfdcw.com/cz/czdetail_74173.html
仪邦工业区1楼厂房,龙港,厂房,一室,120000元/年,260,[09-26],https://www.lgfdcw.com/cz/czdetail_74172.html
宏程路2楼,龙港,套房,一室,20000元/年,100,[09-26],https://www.lgfdcw.com/cz/czdetail_74171.html
纺织四街西一街路口,龙港,套房,二室一厅一卫二阳台,9000元/年,120,[09-26],https://www.lgfdcw.com/cz/czdetail_84623.html
环河路207号,龙港,套房,一室一卫,9800元/年,50,[09-26],https://www.lgfdcw.com/cz/czdetail_71055.html
宫后路242号后面海港路390号后面,龙港,民房,一室二卫一阳台,12000元/年,80,[09-26],https://www.lgfdcw.com/cz/czdetail_84543.html
财富边上 高兴路277号 沿河北路4,龙港,单间,一室一厅一卫一阳台,600元/月,30,[09-26],https://www.lgfdcw.com/cz/czdetail_84702.html
时代大道厂房2楼,龙港,厂房,一室,496000元/年,2480,[09-25],https://www.lgfdcw.com/cz/czdetail_72541.html
站港大道3楼,龙港,套房,三房二厅二卫,26000元/年,120,[09-25],https://www.lgfdcw.com/cz/czdetail_72540.html
龙翔路6楼套房,龙港,套房,一室,18000元/年,120,[09-25],https://www.lgfdcw.com/cz/czdetail_72539.html
镇前路6楼 中等装修,龙港,套房,三房二厅二卫,26800元/年,120,[09-25],https://www.lgfdcw.com/cz/czdetail_72433.html
泰安路商铺1楼,龙港,套房,一室,63500元/年,58,[09-25],https://www.lgfdcw.com/cz/czdetail_72432.html
天成时尚小微园8楼,龙港,套房,一室,12800元/年,88,[09-25],https://www.lgfdcw.com/cz/czdetail_72430.html
龙城银座2楼 商铺,龙港,商铺,一室,20000元/年,50,[09-25],https://www.lgfdcw.com/cz/czdetail_72428.html
柳南一街7楼 拎包入住,龙港,套房,四室二厅二卫,18000元/年,160,[09-25],https://www.lgfdcw.com/cz/czdetail_72427.html
纺织五街4楼,龙港,套房,三房二厅二卫,18000元/年,120,[09-25],https://www.lgfdcw.com/cz/czdetail_72429.html
龙港大厦14楼 中等装修,龙港,套房,三房二厅二卫,30000元/年,135,[09-25],https://www.lgfdcw.com/cz/czdetail_72426.html
华府公寓7楼 精装修,龙港,套房,一室,24500元/年,53,[09-25],https://www.lgfdcw.com/cz/czdetail_72425.html
纺织一街5楼 中等装修,龙港,套房,三室一厅一卫,28000元/年,130,[09-25],https://www.lgfdcw.com/cz/czdetail_72424.html
锦港嘉园5楼 办公装修,龙港,套房,一室,25000元/年,150,[09-25],https://www.lgfdcw.com/cz/czdetail_72423.html
人民路2楼 中等装修,龙港,套房,二室一厅一卫一阳台,18500元/年,89,[09-25],https://www.lgfdcw.com/cz/czdetail_72422.html
西洋路96-98号商铺,龙港,商铺,一室,33000元/年,180,[09-25],https://www.lgfdcw.com/cz/czdetail_72421.html
曙光工业园区厂房3楼,龙港,厂房,一室,420000元/年,2000,[09-25],https://www.lgfdcw.com/cz/czdetail_72420.html
龙港大厦9楼 办公装修,龙港,套房,二室一厅一卫一阳台,18000元/年,89,[09-25],https://www.lgfdcw.com/cz/czdetail_72419.html
镇安路6楼,龙港,套房,三房二厅二卫,18000元/年,120,[09-25],https://www.lgfdcw.com/cz/czdetail_73386.html
锦港嘉园22楼 简单装修,龙港,套房,一室一厅一卫,13000元/年,40,[09-25],https://www.lgfdcw.com/cz/czdetail_73385.html
柳南一街3楼,龙港,套房,一室一厅一卫,12000元/年,40,[09-25],https://www.lgfdcw.com/cz/czdetail_73384.html
环城路4楼,龙港,套房,三房二厅二卫,16000元/年,120,[09-25],https://www.lgfdcw.com/cz/czdetail_73383.html
新城华鸿智造厂房,龙港,厂房,一室,590000元/年,3000,[09-25],https://www.lgfdcw.com/cz/czdetail_73382.html
龙翔路1楼商铺,龙港,商铺,一室,90000元/年,80,[09-25],https://www.lgfdcw.com/cz/czdetail_73381.html
百有五街3楼,龙港,套房,二室一厅一卫,15000元/年,50,[09-25],https://www.lgfdcw.com/cz/czdetail_73380.html
国发花园4楼 中等装修,龙港,套房,二室二厅一卫,20000元/年,85,[09-25],https://www.lgfdcw.com/cz/czdetail_73379.html
大道北街1楼,龙港,店面,一室,168000元/年,500,[09-25],https://www.lgfdcw.com/cz/czdetail_73377.html
克拉公馆19楼,龙港,套房,三房二厅二卫,32000元/年,120,[09-25],https://www.lgfdcw.com/cz/czdetail_73374.html
泰安大厦23楼,龙港,套房,三房二厅二卫,38000元/年,168,[09-25],https://www.lgfdcw.com/cz/czdetail_73375.html
